,flags,time/s,control/V,Ewe/V,I/mA,(Q-Qo)/C,I Range,overvoltage,irfree
132,22,3761.1939049841894,0.16469651,0.16449822,0.16191465066081356,0.0037076552,40,8.095732533040678e-05,0.1644172675291389
133,22,3761.506504976278,0.16594663,0.16574529,0.16088047775594483,0.003758551,40,8.044023887797241e-05,0.16566484789474326
134,22,3761.819104968381,0.16719711,0.16698661,0.16243419087532707,0.0038095834,40,8.121709543766353e-05,0.16690539737027585
135,22,3762.131504960489,0.16844687,0.16823745,0.16228192835487842,0.00386079,40,8.114096417743921e-05,0.16815630677447002
136,22,3762.444104952592,0.16969709,0.16948368,0.16343451460640823,0.003912162,40,8.171725730320411e-05,0.1694019592954693
137,22,3762.7567049446952,0.1709475,0.17074428,0.16172815883910108,0.00396347,40,8.086407941955054e-05,0.1706634209080301
138,22,3763.0691049368033,0.1721972,0.17199223,0.1634975774967833,0.0040147803,40,8.174878874839164e-05,0.1719104786463636
139,22,3763.3817049289064,0.17344762,0.17324547,0.16280069366507988,0.004066305,40,8.140034683253994e-05,0.17316407434932682
140,22,3763.6943049210095,0.17469783,0.17449711,0.16462236926007745,0.0041180253,40,8.231118463003872e-05,0.17441480144716776
141,22,3764.0067049131176,0.17594758,0.17572896,0.16364820622436804,0.0041698045,40,8.182410311218401e-05,0.1756471377222586
142,22,3764.3193049052206,0.1771981,0.17697164,0.1649418465155031,0.0042217085,40,8.247092325775154e-05,0.17688917323987396
143,22,3764.631804897326,0.17844784,0.17822467,0.16416404127327322,0.0042736502,40,8.208202063663661e-05,0.17814258588612453
144,22,3764.944304889432,0.1796979,0.17948094,0.16407476868918014,0.0043254313,40,8.203738434459006e-05,0.1793989027191863
145,22,3765.256904881535,0.18094845,0.18074271,0.16390428149534664,0.0043772245,40,8.195214074767331e-05,0.18066075868803347
146,22,3765.5694048736405,0.18219833,0.18200071,0.16621288474734008,0.004429345,40,8.310644237367004e-05,0.18191760511787566
147,22,3765.8819048657606,0.18344831,0.18326452,0.16544107802755192,0.004481643,40,8.272053901377596e-05,0.18318180320556934
148,22,3766.194504857849,0.18469879,0.18450642,0.16578908169136075,0.004533942,40,8.289454084568037e-05,0.1844235217799551
149,22,3766.5070048499547,0.18594883,0.18575022,0.16557058213059106,0.0045862785,40,8.278529106529552e-05,0.18566743095458596
150,22,3766.8195048420603,0.18719864,0.18701127,0.16680328541592276,0.0046388065,40,8.340164270796138e-05,0.18692787007245623
151,22,3767.1321048341633,0.18844916,0.18824415,0.16499538208235887,0.0046912525,40,8.249769104117943e-05,0.18816165139781837
152,22,3767.4445048262714,0.18969887,0.18950357,0.16584152385826734,0.0047435714,40,8.292076192913366e-05,0.18942064466871203
153,22,3767.757104818389,0.1909491,0.19073617,0.16558330885057915,0.004796001,40,8.279165442528957e-05,0.19065338292900977
154,22,3768.0697048104776,0.1921995,0.19197685,0.16739373231671317,0.0048486744,40,8.369686615835659e-05,0.19189314839827645
155,22,3768.382204802583,0.19344962,0.19322193,0.16632202755976078,0.004901473,40,8.316101377988039e-05,0.19313876567536806
156,22,3768.6947047946887,0.19469957,0.19448343,0.1677513717548427,0.004954408,40,8.387568587742135e-05,0.19439955350761928
157,22,3769.007304786792,0.1959499,0.195726,0.16750903075151102,0.0050074556,40,8.375451537575551e-05,0.1956422527077535
158,22,3769.3197047789,0.19719958,0.19697325,0.16862006151069986,0.0050606052,40,8.431003075534992e-05,0.19688893928546017
159,22,3769.632304771003,0.19845003,0.19821268,0.16855088486349823,0.005113959,40,8.427544243174912e-05,0.19812840775840443
160,22,3769.944904763106,0.1997002,0.19946481,0.1703700891323794,0.005167607,40,8.518504456618969e-05,0.1993796278302278
161,22,3770.257304755214,0.20094995,0.20072207,0.17002734601272368,0.00522147,40,8.501367300636184e-05,0.20063705487519615
162,22,3770.5699047473317,0.20220043,0.20197468,0.16991872994300644,0.0052753,40,8.495936497150323e-05,0.20188971569434705
163,22,3770.88240473943,0.20345032,0.20324317,0.17002306813660517,0.0053291153,40,8.501153406830258e-05,0.2031581546741989
164,22,3771.1949047315284,0.20470028,0.20448838,0.17080572109198633,0.005383113,40,8.540286054599317e-05,0.2044029788828851
165,22,3771.5075047236314,0.20595084,0.20572737,0.17045156434079622,0.0054371473,40,8.522578217039811e-05,0.20564214281104554
166,22,3771.820004715737,0.20720077,0.20699316,0.17175949881066477,0.005491369,40,8.587974940533238e-05,0.2069072828825832
167,22,3772.1325047078426,0.20845066,0.20824182,0.17114920038415882,0.005545686,40,8.55746001920794e-05,0.20815624573519612
168,22,3772.44510469996,0.20970117,0.20948607,0.17123955584236106,0.005599909,40,8.561977792118052e-05,0.20940044751715328
169,22,3772.7575046920538,0.21095085,0.21072637,0.17032738592357832,0.0056540095,40,8.516369296178916e-05,0.21064120175408257
170,22,3773.070104684157,0.21220101,0.21197292,0.17203426743675942,0.0057082963,40,8.601713371837971e-05,0.2118869049529973
171,22,3773.38270467626,0.21345153,0.21323366,0.17144721415532116,0.0057627475,40,8.572360707766058e-05,0.21314794102476592
172,22,3773.6951046683826,0.21470118,0.21448754,0.17352547839981547,0.005817419,40,8.676273919990774e-05,0.21440077500246116
173,22,3774.007704660471,0.2159515,0.2157261,0.1729875845977622,0.0058723674,40,8.64937922988811e-05,0.2156396135666336
